19.62;6.12;25
9.9;12.73;25
9.9;12.64;25
2.5;17.52;25
3.31;19.75;25
20.27;7.19;24.8
4.22;19.09;24.8
3.65;17.85;24.8
4.98;17.02;24.8
5.72;17.93;24.8
11.62;13.55;24.8
11.13;12.98;24.8
13.54;12.15;24.8
5.72;17.93;24.6
4.98;17.02;24.6
8.06;15.12;24.6
8.47;15.79;24.6
8.47;15.79;24.4
8.06;15.12;24.4
11.13;12.98;24.4
11.62;13.55;24.4
13.54;12.15;24.4
12.88;11.65;24.4
15.54;9.67;24.4
15.95;10.25;24.4
3.31;19.75;24
2.5;17.52;24
4.22;19.09;24
3.65;17.85;24
4.98;17.02;24
8.06;15.12;24
11.13;12.98;24
9.9;12.73;24
9.9;12.73;24
12.88;11.65;24
12.88;11.65;24
15.54;9.67;24
15.95;10.25;24
20.27;7.19;24
19.62;6.12;24
