20.28;15.62;25
12.31;21.07;25
15.89;27.11;25
20.87;24.46;25
20.71;23.97;25
24.45;21.82;25
22.73;20.17;25
21.65;20.66;25
21.73;20.91;25
20.65;21.49;25
21.46;22.98;25
23.62;21.82;25
17.94;19.83;25
14.2;22.15;25
15.18;23.88;25
14.93;24.13;25
15.99;25.79;25
19.39;23.72;25
19.06;23.31;25
19.4;22.98;25
19.07;22.31;25
19.24;22.15;25
15.99;25.79;24.8
15.74;25.45;24.8
19.06;23.31;24.8
19.39;23.72;24.8
19.07;22.31;24.8
19.24;22.15;24.8
18.26;20.5;24.8
18.09;20.74;24.8
22.73;20.17;24.8
23.05;20.66;24.8
22.72;20.99;24.8
22.47;20.66;24.8
22.31;20.25;24.8
21.97;21.24;24.8
23.29;22.07;24.8
22.63;22.07;24.8
21.72;22.56;24.8
21.79;22.89;24.8
15.86;21.07;24.6
16.02;21.24;24.6
15.03;21.98;24.6
15.35;22.4;24.6
15.1;22.64;24.6
15.35;22.89;24.6
14.85;23.22;24.6
14.2;22.15;24.6
15.18;23.88;24.6
14.93;24.13;24.6
15.74;25.45;24.6
15.91;25.21;24.6
23.87;22.15;24.6
22.64;20.17;24.6
23.14;19.83;24.6
24.45;21.82;24.6
21.46;22.98;24.4
21.8;22.81;24.4
21.72;22.56;24.4
22.63;22.07;24.4
21.73;20.91;24.4
20.65;21.49;24.4
20.28;15.62;24
12.31;21.07;24
15.89;27.11;24
20.87;24.46;24
20.71;23.97;24
24.45;21.82;24
22.73;20.17;24
21.65;20.66;24
21.73;20.91;24
20.65;21.49;24
21.46;22.98;24
23.62;21.82;24
17.94;19.83;24
14.2;22.15;24
15.18;23.88;24
14.93;24.13;24
15.99;25.79;24
19.39;23.72;24
19.06;23.31;24
19.4;22.98;24
19.07;22.31;24
19.24;22.15;24
15.74;25.45;24
18.26;20.5;24
18.09;20.74;24
23.05;20.66;24
22.72;20.99;24
22.47;20.66;24
22.31;20.25;24
21.97;21.24;24
23.29;22.07;24
22.63;22.07;24
21.72;22.56;24
21.79;22.89;24
15.86;21.07;24
16.02;21.24;24
15.03;21.98;24
15.35;22.4;24
15.1;22.64;24
15.35;22.89;24
14.85;23.22;24
15.91;25.21;24
23.87;22.15;24
22.64;20.17;24
23.14;19.83;24
21.8;22.81;24
