0.5;0.5;4.5
0.5;0.5;4.7
0.5;0.5;4.9
0.5;0.5;5.1
0.5;0.5;5.3
22.5;0.5;0.1
22.5;0.5;0.3
22.5;0.5;0.5
22.5;0.5;0.7
22.5;0.5;0.9
22.5;0.5;1.1
22.5;0.5;1.3
22.5;0.5;1.5
22.5;0.5;1.7
22.5;0.5;1.9
22.5;0.5;2.1
22.5;0.5;2.3
22.5;0.5;2.5
22.5;0.5;2.7
22.5;0.5;2.9
22.5;0.5;3.1
22.5;0.5;3.3
22.5;0.5;3.5
22.5;0.5;3.7
22.5;0.5;3.9
22.5;0.5;4.1
22.5;0.5;4.3
22.5;0.5;4.5
22.5;0.5;4.7
22.5;0.5;4.9
22.5;0.5;5.1
22.5;0.5;5.3
0.5;34.5;0.1
0.5;34.5;0.3
0.5;34.5;0.5
0.5;34.5;0.7
0.5;34.5;0.9
0.5;34.5;1.1
0.5;34.5;1.3
0.5;34.5;1.5
0.5;34.5;1.7
0.5;34.5;1.9
0.5;34.5;2.1
0.5;34.5;2.3
0.5;34.5;2.5
0.5;34.5;2.7
0.5;34.5;2.9
0.5;34.5;3.1
0.5;34.5;3.3
0.5;34.5;3.5
0.5;34.5;3.7
0.5;34.5;3.9
0.5;34.5;4.1
0.5;34.5;4.3
0.5;34.5;4.5
0.5;34.5;4.7
0.5;34.5;4.9
0.5;34.5;5.1
0.5;34.5;5.3
22.5;34.5;0.1
22.5;34.5;0.3
22.5;34.5;0.5
22.5;34.5;0.7
22.5;34.5;0.9
22.5;34.5;1.1
22.5;34.5;1.3
22.5;34.5;1.5
22.5;34.5;1.7
22.5;34.5;1.9
22.5;34.5;2.1
22.5;34.5;2.3
22.5;34.5;2.5
22.5;34.5;2.7
22.5;34.5;2.9
22.5;34.5;3.1
22.5;34.5;3.3
22.5;34.5;3.5
22.5;34.5;3.7
22.5;34.5;3.9
22.5;34.5;4.1
22.5;34.5;4.3
22.5;34.5;4.5
22.5;34.5;4.7
22.5;34.5;4.9
22.5;34.5;5.1
22.5;34.5;5.3
