8;13;1.4;19
8;13;1.2;20
8;13;0.4;24
8;14;2.4;14
8;14;2.2;15
8;14;1.8;17
8;14;1.6;18
8;14;1.4;19
8;14;1.2;20
8;14;1;21
8;14;0.4;24
8;14;0.2;25
8;15;2.6;13
8;15;2.4;14
8;15;2;16
8;15;1.4;19
8;15;1.2;20
8;15;1;21
8;15;0.6;23
8;15;0.4;24
8;15;0.2;25
8;16;2;16
9;10;0.8;22
9;12;2;16
9;13;2.4;14
9;13;1.6;18
9;13;1.4;19
9;13;1.2;20
9;13;1;21
9;13;0.6;23
9;13;0.4;24
9;14;2.4;14
9;14;2.2;15
9;14;1.6;18
9;14;1.4;19
9;14;1;21
9;14;0.8;22
9;14;0.6;23
9;14;0.4;24
9;14;0.2;25
9;15;2.8;12
9;15;2.6;13
9;15;2;16
9;15;1.4;19
9;15;1.2;20
9;15;0.8;22
9;15;0.6;23
9;15;0.2;25
9;16;3;11
9;16;2.8;12
9;16;2.6;13
9;16;2;16
9;17;2.4;14
9;22;4.8;2
10;8;1;21
10;8;0.8;22
10;8;0.6;23
10;8;0.2;25
10;10;1.4;19
10;10;0.4;24
10;13;1.4;19
10;14;2;16
10;14;1.8;17
10;14;1.6;18
10;14;1.2;20
10;14;1;21
10;14;0.8;22
10;15;2;16
10;15;1;21
10;15;0.4;24
10;16;2.4;14
11;6;1;21
11;10;1.8;17
11;10;1.2;20
11;11;1.8;17
11;12;1.2;20
11;15;4.6;3
11;15;3.4;9
11;15;1.6;18
11;16;3;11
11;18;1;21
12;15;4.4;4
12;17;2.4;14
12;19;3;11
13;13;4.2;5
13;18;3.4;9
14;15;4.6;3
14;15;4.2;5
15;17;4.6;3
16;8;0.8;22
16;11;2.4;14
17;8;1;21
17;8;0.8;22
18;15;3;11
19;17;4.8;2
19;18;4.2;5
20;18;2.4;14
20;19;3;11
21;16;3;11
21;18;2.4;14
21;21;4.2;5
22;15;1.4;19
22;17;2.8;12
22;17;2;16
22;18;1.4;19
22;19;1.2;20
22;21;1.2;20
