2;7;2.6;13
3;7;0.4;24
4;6;0.4;24
4;8;0.8;22
5;7;0.6;23
8;13;0.4;24
8;14;0.2;25
8;15;0.2;25
8;16;2;16
9;9;0.2;25
9;10;0.8;22
9;12;2;16
9;13;0.4;24
9;14;0.2;25
9;15;0.2;25
9;16;2;16
9;17;2.4;14
9;22;4.8;2
9;23;4.6;3
10;8;0.2;25
10;9;1;21
10;10;0.4;24
10;11;0.8;22
10;12;1.2;20
10;13;1.2;20
10;14;0.8;22
10;15;0.4;24
10;16;2.4;14
10;24;4.2;5
10;25;4.2;5
11;6;1;21
11;10;0.6;23
11;11;0.8;22
11;12;1.2;20
11;13;0.4;24
11;15;1.6;18
11;16;3;11
11;17;4;6
11;19;4.2;5
11;20;4.8;2
11;22;1.6;18
12;6;0.4;24
12;9;0.8;22
12;10;0.6;23
12;11;0.8;22
12;12;1.8;17
12;14;3.8;7
12;15;4.2;5
12;17;2.4;14
12;18;4;6
12;19;3;11
12;20;4.8;2
13;8;1;21
13;9;0.2;25
13;10;1.8;17
13;13;4.2;5
13;14;3.8;7
13;15;3.4;9
13;16;3.2;10
13;17;3.6;8
13;23;3.4;9
14;8;0.4;24
14;9;0.6;23
14;14;4.2;5
14;15;4.2;5
15;8;1;21
15;11;3.4;9
15;12;3.6;8
15;13;3.4;9
15;14;4.8;2
15;17;4.6;3
15;24;4.6;3
16;8;0.8;22
16;10;2.4;14
16;11;2.4;14
16;12;2.6;13
17;8;0.8;22
18;17;3.4;9
18;19;3.8;7
19;10;1.4;19
19;13;3;11
19;16;4.2;5
19;17;2.4;14
19;18;2.8;12
20;18;2.4;14
20;19;3;11
21;15;1.8;17
21;16;2.6;13
21;18;2.4;14
21;21;4.2;5
22;15;1.4;19
22;17;2;16
22;18;1.4;19
22;19;1.2;20
22;21;1.2;20
